Task counter,Task type,Task name,Task id,Task enabled,Task timeout,Task retries,App id,Partial reload,Manually triggered,Task status,Task started,Task ended,Task duration,Task executedon node,Tags,Custom properties,Event counter,Event type,Event name,Event enabled,Event created date,Event modified date,Event modified by,Schema increment option,Schema increment description,Daylight savings time,Schema start,Schema expiration,Schema filter description,Schema time zone,Time contstraint seconds,Time contstraint minutes,Time contstraint hours,Time contstraint days,Rule counter,Rule state,Rule task name,Rule task id
5,Reload,Manually triggered reload of Always failing reload (no delay),b33fb53e-c6f9-4dd5-af27-fdf2ffd00ea1,1,1440,0,deba4bcf-47e4-472e-97b2-4fe8d6498e11,,1,❔ ?,,,0:00:00,,Ctrl-Q test / Ctrl-Q test 2,Butler_FailedAlertEnableEmail=Yes / Butler_FailedAlertSendToEmail=goran.sander+cpalert1@gmail.com / Butler_FailedAlertSendToEmail=goran.sander+cpalert2@gmail.com,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,1,Schema,Every 2 min,,2023-01-27T07:05:02.621Z,2023-01-27T07:05:02.621Z,INTERNAL\sa_api,once,2 0 0 0,ObserveDaylightSavingTime,2022-04-01T09:00:33.000,9999-01-01T00:00:00.000,* * - * * * * *,Europe/Paris,,,,,,,,
5,,,,,,,,,,,,,,,,,2,Schema,Weekly,,2023-01-27T07:05:02.621Z,2023-01-27T07:05:02.621Z,INTERNAL\sa_api,weekly,0 0 1 0,ObserveDaylightSavingTime,2022-10-19T10:19:30.000,9999-01-01T00:00:00.000,* * - 3 1 * * *,Europe/Paris,,,,,,,,
6,Reload,Manually triggered reload of App1 🏆,b37f8034-faee-4e9b-bbca-5aba0cdf5df2,1,1440,0,26634113-9163-44e4-a879-d87817d6e887,,1,✅ FinishedSuccess,2021-04-09T05:47:48.387Z,2021-04-09T05:47:56.476Z,0:00:08,pro2-win1.lab.ptarmiganlabs.net,Butler 5.0 demo / Ctrl-Q test / Ctrl-Q test 2,TaskPriority=High,,,,,,,,,,,,,,,,,,,,,,
7,Reload,Manually triggered reload of App1 🏆,f3b02396-262c-4b7b-beb5-d0452a2488e7,1,1440,0,26634113-9163-44e4-a879-d87817d6e887,,1,❔ ?,,,0:00:00,,Ctrl-Q test / Ctrl-Q test 2,TaskPriority=High,,,,,,,,,,,,,,,,,,,,,,
8,Reload,Manually triggered reload of App1 🏆,6f12e7cd-542b-47e2-97e0-1009936c2f09,1,1440,0,26634113-9163-44e4-a879-d87817d6e887,,1,❔ ?,,,0:00:00,,Ctrl-Q test / Ctrl-Q test 2,TaskPriority=High,,,,,,,,,,,,,,,,,,,,,,
9,Reload,Manually triggered reload of Butler 7 Slack debug,77f11a41-af3a-4bca-bf67-725be92a88f6,1,1440,0,628ecfe8-b42a-484d-b06e-c6aae36c9923,,1,❌ FinishedFail,2021-11-18T21:52:25.161Z,2021-11-18T21:52:26.593Z,0:00:01,pro2-win1.lab.ptarmiganlabs.net,Ctrl-Q test / Ctrl-Q test 2,,,,,,,,,,,,,,,,,,,,,,,
10,Reload,Manually triggered reload of ButlerTest 1,244ca6a8-8c20-488d-aed2-504048dd4516,1,1440,0,c81a6d9a-f07a-47c4-8dbf-b68653e05354,,1,❌ FinishedFail,2022-06-09T08:34:37.731Z,2022-06-09T08:34:39.529Z,0:00:01,pro2-win2.lab.ptarmiganlabs.net,Ctrl-Q test / Ctrl-Q test 2,,,,,,,,,,,,,,,,,,,,,,,
11,Reload,Manually triggered reload of Employee salaries,20d91fd8-5e1f-42af-8825-3c0e34929660,1,1440,0,ded8d27d-53b1-4d46-8d4e-44f552aeb8bc,,1,✅ FinishedSuccess,2021-03-31T14:02:34.662Z,2021-03-31T14:02:55.546Z,0:00:20,pro2-win2.lab.ptarmiganlabs.net,Ctrl-Q test / Ctrl-Q test 2,,,,,,,,,,,,,,,,,,,,,,,
12,Reload,Manually triggered reload of HR metrics 2015-2020,6a42a7d0-bee9-4609-b340-8c8c50b3c4d9,1,1440,0,7e5866aa-dd2b-42aa-81fc-3765e0d7cf4b,,1,✅ FinishedSuccess,2021-10-28T20:08:58.098Z,2021-10-28T20:09:19.985Z,0:00:21,pro2-win1.lab.ptarmiganlabs.net,Ctrl-Q test / Ctrl-Q test 2,butler_control_q=Load,,,,,,,,,,,,,,,,,,,,,,
13,Reload,Manually triggered reload of Meetup.com,c257a74e-0c6b-48c0-9e5c-1a41399e48c7,1,1440,0,c840670c-7178-4a5e-8409-ba2da69127e2,,1,🛑 Aborted,2022-05-02T14:01:15.813Z,2022-05-02T14:01:18.114Z,0:00:02,pro2-win1.lab.ptarmiganlabs.net,Ctrl-Q test / Ctrl-Q test 2,Butler_AbortedAlertEnableEmail=Yes / Butler_AbortedAlertSendToEmail=goran.sander+1@gmail.com / butler_control_q=Load / Butler_FailedAlertEnableEmail=Yes / Butler_FailedAlertSendToEmail=goran.sander+cpalert1@gmail.com / Butler_FailedAlertSendToEmail=goran.sander+cpalert2@gmail.com,,,,,,,,,,,,,,,,,,,,,,
14,Reload,Manually triggered reload of Minecraft Metrics,9bfd7c52-2bb0-45bc-b8b8-4053c4254bfc,1,1440,0,f16fa63d-54c7-4c8d-81f1-2d084d46bcfe,,1,❌ FinishedFail,2021-09-30T15:07:08.251Z,2021-09-30T15:08:01.336Z,0:00:53,pro2-win2.lab.ptarmiganlabs.net,Ctrl-Q test / Ctrl-Q test 2,,,,,,,,,,,,,,,,,,,,,,,
15,Reload,Manually triggered reload of Performance review,01ff990e-f315-475c-8391-7817082a8dc6,1,1440,0,e11509b6-ad42-4b37-8728-29debef64380,,1,✅ FinishedSuccess,2022-04-21T10:20:33.161Z,2022-04-21T10:20:46.304Z,0:00:13,pro2-win2.lab.ptarmiganlabs.net,Ctrl-Q test / Ctrl-Q test 2,,,,,,,,,,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,,,,1,Composite,When HR metrics done,1,2021-03-31T11:03:00.753Z,2021-03-31T11:03:00.753Z,LAB\goran,,,,,,,,0,360,0,0,,,,
15,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,TaskSuccessful,Manually triggered reload of HR metrics 2015-2020,30f8a2e9-f0d3-482e-af58-aed6b77d3dd5
16,Reload,Manually triggered reload of Synt key,7823d7b9-48b2-40e1-8b04-449ebe58eb4f,1,1440,0,27b6393e-cd61-42e6-a56e-03c087e3d19f,,1,✅ FinishedSuccess,2023-01-27T12:01:00.202Z,2023-01-27T12:01:03.897Z,0:00:03,pro2-win2.lab.ptarmiganlabs.net,Ctrl-Q test / Ctrl-Q test 2,,,,,,,,,,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,,,,1,Schema,Daily,1,2021-03-31T10:55:50.654Z,2021-03-31T10:55:50.654Z,LAB\goran,daily,0 0 1 0,ObserveDaylightSavingTime,2021-03-31T13:01:00.000,9999-01-01T00:00:00.000,* * - * * * * *,Europe/Paris,,,,,,,,
